Slot,Folder,File name pattern,Aspect ratio,Sizes (px wide),Role,Current source,Alt text,Used on,Custom image prompt
"p:paper-sticker-printing-dubai:application","website/assets/images/products/paper-sticker-printing-dubai/","paper-sticker-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Bakery assistant sealing a white pastry box with a printed paper sticker","/paper-sticker-printing-dubai/","Documentary-style photograph of a bakery assistant sealing a white pastry box with a printed semi-gloss paper sticker at a Dubai bakery counter, pastries softly blurred behind, warm natural light, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:paper-sticker-printing-dubai:production","website/assets/images/products/paper-sticker-printing-dubai/","paper-sticker-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:digital-press)","Digital press output","/paper-sticker-printing-dubai/","Photorealistic commercial photograph of paper stickers production: Digital press output — freshly printed sheets leaving a production digital press. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:pvc-sticker-printing-dubai:hero","website/assets/images/products/pvc-sticker-printing-dubai/","pvc-sticker-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock — SHARED with cat:sticker-materials (replace first)","Glossy white PVC stickers with full-colour logos laid on a stainless steel counter","/pvc-sticker-printing-dubai/","Realistic commercial product photograph of glossy white PVC stickers with full-colour logos for a fictional juice bar, laid on a brushed stainless steel counter with water droplets, bright clean lighting, slightly elevated angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:pvc-sticker-printing-dubai:detail","website/assets/images/products/pvc-sticker-printing-dubai/","pvc-sticker-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Water droplets beading on a laminated PVC sticker applied to a bottle","/pvc-sticker-printing-dubai/","Macro product photograph of water droplets beading on a gloss-laminated white PVC sticker applied to a chilled plastic bottle, crisp backlight highlighting the droplets and label edge, dark background, fictional brand name, no real logos, no Flash Print Solution branding."
"p:pvc-sticker-printing-dubai:application","website/assets/images/products/pvc-sticker-printing-dubai/","pvc-sticker-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","PVC recycling stickers on colour-coded waste bins in an office corridor","/pvc-sticker-printing-dubai/","Realistic photograph of colour-coded waste and recycling bins with printed PVC stickers showing icons and wording, standing in a bright modern office corridor in Dubai, natural daylight, eye-level angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:pvc-sticker-printing-dubai:production","website/assets/images/products/pvc-sticker-printing-dubai/","pvc-sticker-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:large-format-printer)","Wide-format inkjet printer printing a large graphic onto roll media","/pvc-sticker-printing-dubai/","Photorealistic commercial photograph of pvc stickers production: Wide-format inkjet printer printing a large graphic onto roll media. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:on-site-branding-dubai:hero","website/assets/images/products/on-site-branding-dubai/","on-site-branding-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Printed wall graphic of a city skyline being fitted in a modern office corridor","/on-site-branding-dubai/","Realistic commercial photograph of an installer on a low step ladder applying the final panel of a printed city-skyline wall graphic along a modern Dubai office corridor, neutral carpet, bright even ceiling lighting, wide perspective shot down the corridor. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:on-site-branding-dubai:detail","website/assets/images/products/on-site-branding-dubai/","on-site-branding-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a felt squeegee pressing frosted film onto an office glass partition","/on-site-branding-dubai/","Macro commercial photograph of a felt-edged squeegee pressing a frosted film band with a cut geometric pattern onto a glass meeting-room partition, fine water droplets visible, soft office light, shallow depth of field. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:on-site-branding-dubai:application","website/assets/images/products/on-site-branding-dubai/","on-site-branding-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Event entrance with printed wall panels and floor graphics at a conference venue","/on-site-branding-dubai/","Realistic event photograph of a conference entrance in a Dubai hotel ballroom foyer branded with large printed wall panels, a registration counter wrap and directional floor graphics, warm venue lighting, no crowds, wide eye-level view. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:on-site-branding-dubai:production","website/assets/images/products/on-site-branding-dubai/","on-site-branding-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:vinyl-installation)","Installer applying printed vinyl film to glass or wall with a squeegee","/on-site-branding-dubai/","Photorealistic commercial photograph of on-site branding production: Installer applying printed vinyl film to glass or wall with a squeegee. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:sign-board-installation-dubai:hero","website/assets/images/products/sign-board-installation-dubai/","sign-board-installation-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Installers fixing a large illuminated fascia sign above a shopfront using a mobile lift","/sign-board-installation-dubai/","Realistic commercial photograph of two installers in hi-vis vests on a scissor lift fitting a large illuminated fascia sign above a glass shopfront in a Dubai community retail centre, clear blue sky, midday light, wide low-angle shot. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:sign-board-installation-dubai:detail","website/assets/images/products/sign-board-installation-dubai/","sign-board-installation-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of stand-off fixings and spacers holding acrylic letters away from a wall","/sign-board-installation-dubai/","Macro commercial photograph of brushed stainless stand-off fixings and hidden spacers holding thick acrylic letters 20 mm off a painted grey wall, soft side light casting crisp letter shadows, shallow depth of field. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:sign-board-installation-dubai:application","website/assets/images/products/sign-board-installation-dubai/","sign-board-installation-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Finished backlit letter sign above a cafe shopfront at dusk","/sign-board-installation-dubai/","Realistic architectural photograph of a newly installed backlit 3D letter sign above a small cafe shopfront in a Dubai neighbourhood at dusk, warm interior glow, blue-hour sky, straight-on eye-level composition. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:sign-board-installation-dubai:production","website/assets/images/products/sign-board-installation-dubai/","sign-board-installation-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:sign-installation)","Installation team fixing a sign board on a building facade using ladders/lift","/sign-board-installation-dubai/","Photorealistic commercial photograph of sign board installation production: Installation team fixing a sign board on a building facade using ladders/lift. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:vehicle-branding-installation-dubai:hero","website/assets/images/products/vehicle-branding-installation-dubai/","vehicle-branding-installation-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Installer smoothing printed wrap film onto a white delivery van panel with a squeegee","/vehicle-branding-installation-dubai/","Realistic commercial photograph of an installer in gloves smoothing printed wrap film onto the side panel of a white delivery van with a squeegee inside a clean, shaded workshop bay, even overhead lighting, three-quarter angle. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:vehicle-branding-installation-dubai:detail","website/assets/images/products/vehicle-branding-installation-dubai/","vehicle-branding-installation-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a heat gun and squeegee working wrap film around a door handle","/vehicle-branding-installation-dubai/","Macro commercial photograph of a gloved hand guiding wrap film into the recess around a car door handle while a heat gun warms the film, visible film texture and panel gap, workshop lighting, shallow depth of field. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:vehicle-branding-installation-dubai:application","website/assets/images/products/vehicle-branding-installation-dubai/","vehicle-branding-installation-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Row of white service vans with matching livery graphics parked outside a warehouse","/vehicle-branding-installation-dubai/","Realistic commercial photograph of five white service vans with identical colourful livery graphics parked in a row outside a modern warehouse in an industrial area of Dubai, morning sun, wide eye-level shot. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:vehicle-branding-installation-dubai:production","website/assets/images/products/vehicle-branding-installation-dubai/","vehicle-branding-installation-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:vehicle-wrap-install)","Installer applying wrap film to a vehicle panel with a heat gun and squeegee","/vehicle-branding-installation-dubai/","Photorealistic commercial photograph of vehicle branding installation production: Installer applying wrap film to a vehicle panel with a heat gun and squeegee. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:artwork-correction-for-printing-dubai:hero","website/assets/images/products/artwork-correction-for-printing-dubai/","artwork-correction-for-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Designer comparing a printed proof with artwork on screen showing bleed and crop marks","/artwork-correction-for-printing-dubai/","Realistic photograph of a designer holding a printed flyer proof next to a monitor showing the same fictional artwork with bleed and crop marks visible, tidy studio desk in Dubai, soft daylight, over-the-shoulder angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:artwork-correction-for-printing-dubai:detail","website/assets/images/products/artwork-correction-for-printing-dubai/","artwork-correction-for-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a screen comparing a pixelated logo with a clean redrawn vector version","/artwork-correction-for-printing-dubai/","Close-up photograph of a monitor showing a split view of a pixelated fictional logo beside a clean redrawn vector version with anchor points visible, dim studio with screen glow, slight angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:artwork-correction-for-printing-dubai:application","website/assets/images/products/artwork-correction-for-printing-dubai/","artwork-correction-for-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock — SHARED with cat:design-creative (replace first)","Corrected business cards and flyers laid out beside marked-up proof sheets","/artwork-correction-for-printing-dubai/","Realistic top-down photograph of freshly printed business cards and flyers with fictional branding laid beside marked-up proof sheets and a red pen on a white desk, bright even daylight, fictional brand name, no real logos, no Flash Print Solution branding."
"p:artwork-correction-for-printing-dubai:production","website/assets/images/products/artwork-correction-for-printing-dubai/","artwork-correction-for-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:design-studio)","Designer preparing print artwork on a large monitor with colour swatches nearby","/artwork-correction-for-printing-dubai/","Photorealistic commercial photograph of artwork correction production: Designer preparing print artwork on a large monitor with colour swatches nearby. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:graphic-design-services-dubai:hero","website/assets/images/products/graphic-design-services-dubai/","graphic-design-services-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Brochure, menu and packaging designs with fictional branding spread across a studio table","/graphic-design-services-dubai/","Realistic top-down photograph of printed design work with fictional branding on a light oak studio table: tri-fold brochure, restaurant menu, product box and business cards, coordinated colour palette, soft daylight, fictional brand name, no real logos, no Flash Print Solution branding."
"p:graphic-design-services-dubai:detail","website/assets/images/products/graphic-design-services-dubai/","graphic-design-services-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Designer adjusting a brochure layout on screen with colour swatches beside the keyboard","/graphic-design-services-dubai/","Close-up photograph of a designer's hands on a keyboard while a brochure layout with fictional branding fills a large monitor, colour swatch fan and printed proof beside the keyboard, warm studio light, slight side angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:graphic-design-services-dubai:application","website/assets/images/products/graphic-design-services-dubai/","graphic-design-services-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Exhibition stand with graphics and a roll-up banner in matching fictional branding","/graphic-design-services-dubai/","Realistic photograph of a compact exhibition stand at a Dubai trade show with printed back wall graphics, a roll-up banner and brochure rack all in matching fictional branding, bright exhibition hall lighting, wide eye-level angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:graphic-design-services-dubai:production","website/assets/images/products/graphic-design-services-dubai/","graphic-design-services-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:design-studio)","Designer preparing print artwork on a large monitor with colour swatches nearby","/graphic-design-services-dubai/","Photorealistic commercial photograph of graphic design production: Designer preparing print artwork on a large monitor with colour swatches nearby. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:logo-design-dubai:hero","website/assets/images/products/logo-design-dubai/","logo-design-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Logo concept sheet showing a fictional mark in colour, black and reversed versions","/logo-design-dubai/","Realistic top-down photograph of a printed logo concept sheet for a fictional brand showing the mark in full colour, black and white-reversed versions with colour swatches, pencil sketches around it on a white desk, soft daylight, fictional brand name, no real logos, no Flash Print Solution branding."
"p:logo-design-dubai:detail","website/assets/images/products/logo-design-dubai/","logo-design-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Designer sketching logo ideas in a notebook beside a tablet showing vector shapes","/logo-design-dubai/","Close-up photograph of a designer's hand sketching logo ideas for a fictional brand in a dotted notebook, tablet beside it showing vector shapes, warm studio light, shallow depth of field, slight top-down angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:logo-design-dubai:application","website/assets/images/products/logo-design-dubai/","logo-design-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","New fictional logo applied to a business card, cap and shop sign mockup","/logo-design-dubai/","Realistic commercial photograph of a new fictional logo applied across a business card, an embroidered cap and a small acrylic shop sign arranged on a concrete surface, cohesive brand colours, soft natural light, 45-degree angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:logo-design-dubai:production","website/assets/images/products/logo-design-dubai/","logo-design-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:design-studio)","Designer preparing print artwork on a large monitor with colour swatches nearby","/logo-design-dubai/","Photorealistic commercial photograph of logo design production: Designer preparing print artwork on a large monitor with colour swatches nearby. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:signage-replacement-dubai:hero","website/assets/images/products/signage-replacement-dubai/","signage-replacement-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","New printed face fitted to a shopfront light box sign above a cafe entrance","/signage-replacement-dubai/","Realistic architectural photograph of a crisp newly replaced printed light box face above a small cafe entrance in a Dubai neighbourhood, evenly lit, clean glass shopfront below, early evening light, straight-on eye-level view. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:signage-replacement-dubai:detail","website/assets/images/products/signage-replacement-dubai/","signage-replacement-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Faded, cracked sign face lying beside a freshly printed replacement panel","/signage-replacement-dubai/","Commercial photograph of a sun-faded, cracked acrylic sign face laid on a workshop bench beside its bright, freshly printed replacement panel, showing the colour difference clearly, soft overhead light, elevated three-quarter angle. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:signage-replacement-dubai:application","website/assets/images/products/signage-replacement-dubai/","signage-replacement-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Technician on a ladder removing a damaged sign panel from a building fascia","/signage-replacement-dubai/","Realistic commercial photograph of a technician in a hi-vis vest on an A-frame ladder unscrewing a damaged ACP sign panel from a low-rise building fascia in Dubai, tools on belt, bright daylight, low angle looking up. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:signage-replacement-dubai:production","website/assets/images/products/signage-replacement-dubai/","signage-replacement-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:large-format-printer)","Wide-format inkjet printer printing a large graphic onto roll media","/signage-replacement-dubai/","Photorealistic commercial photograph of damage replacement printing production: Wide-format inkjet printer printing a large graphic onto roll media. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:print-ready-file-setup-dubai:hero","website/assets/images/products/print-ready-file-setup-dubai/","print-ready-file-setup-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Designer's monitor showing a business card layout with bleed and crop marks","/print-ready-file-setup-dubai/","Realistic commercial photograph of a large desktop monitor in a design studio displaying a business card layout with visible bleed guides, crop marks and colour swatch panel, printed proof and colour fan deck on the desk, soft daylight, over-the-shoulder angle. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:print-ready-file-setup-dubai:detail","website/assets/images/products/print-ready-file-setup-dubai/","print-ready-file-setup-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a printed proof sheet with crop marks and colour bars","/print-ready-file-setup-dubai/","Macro photograph of the corner of a printed proof sheet showing crisp crop marks, registration targets and a CMYK colour bar, with a loupe resting on the paper, neutral daylight-balanced lighting, shallow depth of field. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:print-ready-file-setup-dubai:application","website/assets/images/products/print-ready-file-setup-dubai/","print-ready-file-setup-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Packaging dieline printout beside a folded carton prototype on a studio desk","/print-ready-file-setup-dubai/","Realistic commercial photograph of a flat printed packaging dieline with fold and cut lines beside a white folded carton prototype, cutting mat, steel ruler and pencil on a studio desk, soft overhead light, top-down angle. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:print-ready-file-setup-dubai:production","website/assets/images/products/print-ready-file-setup-dubai/","print-ready-file-setup-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:design-studio)","Designer preparing print artwork on a large monitor with colour swatches nearby","/print-ready-file-setup-dubai/","Photorealistic commercial photograph of print-ready file setup production: Designer preparing print artwork on a large monitor with colour swatches nearby. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:rebranding-services-dubai:hero","website/assets/images/products/rebranding-services-dubai/","rebranding-services-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","New illuminated letter sign being fitted to a shopfront after the old sign was removed","/rebranding-services-dubai/","Realistic commercial photograph of installers fitting new illuminated letters to a freshly cleaned shopfront fascia in Dubai, faint outline of the removed old sign still visible on the wall, bright daylight, medium-wide low angle. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:rebranding-services-dubai:detail","website/assets/images/products/rebranding-services-dubai/","rebranding-services-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Old and new business cards and letterheads laid side by side on a desk","/rebranding-services-dubai/","Commercial flat-lay photograph of an old set of business cards and letterheads in muted colours beside a new set in a fresh colour palette, arranged on a pale desk, soft even daylight, top-down angle. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:rebranding-services-dubai:application","website/assets/images/products/rebranding-services-dubai/","rebranding-services-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Row of company vans in a depot showing matching new livery graphics","/rebranding-services-dubai/","Realistic commercial photograph of a row of white company vans in a Dubai depot, all wearing matching new livery graphics in a bold colour palette, morning sunlight, clean concrete yard, wide eye-level shot. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:rebranding-services-dubai:production","website/assets/images/products/rebranding-services-dubai/","rebranding-services-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:sign-fabrication)","Workshop fabrication of signage","/rebranding-services-dubai/","Photorealistic commercial photograph of rebranding services production: Workshop fabrication of signage — acrylic, aluminium composite panels and letters. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:sticker-removal-dubai:hero","website/assets/images/products/sticker-removal-dubai/","sticker-removal-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Worker peeling old white vinyl lettering from a shop window with a scraper","/sticker-removal-dubai/","Realistic commercial photograph of a worker peeling old, cracked white vinyl lettering from a large shop window using a plastic scraper, flakes of vinyl on the sill, empty retail interior behind the glass, bright daylight, medium close-up at eye level. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:sticker-removal-dubai:detail","website/assets/images/products/sticker-removal-dubai/","sticker-removal-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a heat gun warming an old decal on a car door panel","/sticker-removal-dubai/","Macro commercial photograph of a heat gun warming a faded vinyl decal on a white car door while a gloved hand peels the edge back at a low angle, visible adhesive strands, workshop lighting, shallow depth of field. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:sticker-removal-dubai:application","website/assets/images/products/sticker-removal-dubai/","sticker-removal-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Clean empty shopfront glass ready for new graphics after sticker removal","/sticker-removal-dubai/","Realistic architectural photograph of a spotless, empty glass shopfront in a Dubai mall corridor after old graphics were removed, reflections of the corridor lights, installer's toolbox and folded new graphics at the base, straight-on view. Fictional brand name, no real logos, no Flash Print Solution branding."
"p:sticker-removal-dubai:production","website/assets/images/products/sticker-removal-dubai/","sticker-removal-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:vehicle-wrap-install)","Installer applying wrap film to a vehicle panel with a heat gun and squeegee","/sticker-removal-dubai/","Photorealistic commercial photograph of sticker removal production: Installer applying wrap film to a vehicle panel with a heat gun and squeegee. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:letterhead-printing-dubai:hero","website/assets/images/products/letterhead-printing-dubai/","letterhead-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Stack of A4 letterheads with a teal logo and footer on a white desk","/letterhead-printing-dubai/","Realistic commercial photograph of a neat stack of A4 company letterheads with a teal logo at the top and a slim footer, on a clean white desk beside a pen and a coffee cup, soft window light, overhead angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:letterhead-printing-dubai:detail","website/assets/images/products/letterhead-printing-dubai/","letterhead-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of textured laid paper letterhead showing a blind embossed logo","/letterhead-printing-dubai/","Macro commercial photograph of a cream laid-paper letterhead corner with a blind embossed logo, raking side light revealing the raised impression and fine paper lines, neutral background, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:letterhead-printing-dubai:application","website/assets/images/products/letterhead-printing-dubai/","letterhead-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Office worker taking a letter printed on company letterhead from a laser printer","/letterhead-printing-dubai/","Realistic photograph of an office worker lifting a freshly printed letter on branded company letterhead from a laser printer tray in a modern Dubai office, natural light, medium close-up on hands and paper, fictional brand name, no real logos, no Flash Print Solution branding."
"p:letterhead-printing-dubai:production","website/assets/images/products/letterhead-printing-dubai/","letterhead-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:offset-press)","Offset press run","/letterhead-printing-dubai/","Photorealistic commercial photograph of letterheads production: Offset press run — operator checking a sheet at an offset printing press. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:catalogue-printing-dubai:hero","website/assets/images/products/catalogue-printing-dubai/","catalogue-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock — SHARED with cat:marketing-promotional (replace first)","Perfect-bound product catalogue with a matt cover lying on a showroom table","/catalogue-printing-dubai/","Realistic commercial product photograph of a perfect-bound A4 product catalogue with a matt laminated cover showing furniture photography, a second copy open to a product grid page, on a wooden showroom table, soft daylight, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:catalogue-printing-dubai:detail","website/assets/images/products/catalogue-printing-dubai/","catalogue-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a catalogue spine showing glued binding and a printed title","/catalogue-printing-dubai/","Macro commercial photograph of the square spine of a perfect-bound catalogue showing the printed title, neat glued binding and stacked page edges, soft directional light, shallow depth of field, neutral background, fictional brand name, no real logos, no Flash Print Solution branding."
"p:catalogue-printing-dubai:application","website/assets/images/products/catalogue-printing-dubai/","catalogue-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Sales representative showing a product catalogue to a buyer at a trade counter","/catalogue-printing-dubai/","Realistic photograph of a sales representative showing an open product catalogue to a buyer at a trade counter in a Dubai showroom, product samples on shelves behind, natural light, medium shot focused on the catalogue pages, fictional brand name, no real logos, no Flash Print Solution branding."
"p:catalogue-printing-dubai:production","website/assets/images/products/catalogue-printing-dubai/","catalogue-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:binding)","Booklet binding / stitching and folding of multi-page printed documents","/catalogue-printing-dubai/","Photorealistic commercial photograph of catalogues production: Booklet binding / stitching and folding of multi-page printed documents. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:invitation-printing-dubai:hero","website/assets/images/products/invitation-printing-dubai/","invitation-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Cream invitation card with gold foil script and a matching lined envelope on linen","/invitation-printing-dubai/","Realistic commercial product photograph of a cream cotton-textured invitation card with gold foil script and border, beside a matching envelope with a patterned liner and a small RSVP card, on natural linen fabric, soft window light, top-down angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:invitation-printing-dubai:detail","website/assets/images/products/invitation-printing-dubai/","invitation-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of blind embossed pattern and gold foil on textured invitation board","/invitation-printing-dubai/","Macro commercial photograph of a thick textured invitation card showing a blind embossed geometric pattern alongside gold foil lettering, raking light emphasising the raised texture, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:invitation-printing-dubai:application","website/assets/images/products/invitation-printing-dubai/","invitation-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Guest holding an invitation card at the entrance of an evening event venue","/invitation-printing-dubai/","Realistic photograph of a guest holding a printed invitation card at the softly lit entrance of an evening gala venue in Dubai, warm lighting and blurred décor behind, focus on hands and card, elegant atmosphere, fictional brand name, no real logos, no Flash Print Solution branding."
"p:invitation-printing-dubai:production","website/assets/images/products/invitation-printing-dubai/","invitation-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:foil-embossing)","Hot-foil stamping or embossing detail being applied to card stock","/invitation-printing-dubai/","Photorealistic commercial photograph of invitations production: Hot-foil stamping or embossing detail being applied to card stock. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:banner-printing-dubai:hero","website/assets/images/products/banner-printing-dubai/","banner-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Full-colour promotional banner with eyelets hanging across a modern shopfront in daylight","/banner-printing-dubai/","Realistic commercial photograph of a long printed PVC promotional banner with metal eyelets fixed across the front of a modern retail unit in Dubai, bright late-afternoon sun, straight-on eye-level view, clean pavement, sharp vivid colours, fictional brand name, no real logos, no Flash Print Solution branding."
"p:banner-printing-dubai:detail","website/assets/images/products/banner-printing-dubai/","banner-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock — SHARED with cat:large-format (replace first)","Close-up of a welded PVC banner hem with a metal eyelet and cable tie","/banner-printing-dubai/","Macro commercial photograph of the corner of a printed PVC banner showing a heat-welded hem, a brass eyelet and a black cable tie, soft natural daylight, shallow depth of field, visible material texture, neutral background, fictional brand name, no real logos, no Flash Print Solution branding."
